n,source_file,target_path,image_type,requested_ratio,actual_size,project_look
58,"Gemini_Generated_Image_hfdxnchfdxnchfdx.jpg",/images/case/school-management-system-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Felt & Birch (Mid-neutral)"
59,"Gemini_Generated_Image_l88a91l88a91l88a.jpg",/images/case/school-management-system-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Felt & Birch (Mid-neutral)"
60,"Gemini_Generated_Image_runyenrunyenruny.jpg",/images/case/school-management-system-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Felt & Birch (Mid-neutral)"
61,"Gemini_Generated_Image_su9oj0su9oj0su9o.jpg",/images/case/school-management-system-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",2528x1696,"Felt & Birch (Mid-neutral)"
62,"Gemini_Generated_Image_wpd0znwpd0znwpd0.jpg",/images/case/school-management-system-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Felt & Birch — “before” grade"
63,"Gemini_Generated_Image_25voku25voku25vo.jpg",/images/case/school-management-system-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Felt & Birch — “before” grade"
64,"Gemini_Generated_Image_o4w4to4w4to4w4to.jpg",/images/case/school-management-system-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",2048x2048,"Felt & Birch — “before” grade"
65,"Gemini_Generated_Image_uf5dh4uf5dh4uf5d.jpg",/images/case/fleet-logistics-tms-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",2752x1536,"Night Route (Dark)"
66,"Gemini_Generated_Image_cnbwn2cnbwn2cnbw.jpg",/images/case/fleet-logistics-tms-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",2752x1536,"Night Route (Dark)"
67,"Gemini_Generated_Image_mflpxbmflpxbmflp.jpg",/images/case/fleet-logistics-tms-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",3168x1344,"Night Route (Dark)"
68,"Gemini_Generated_Image_vw3qiqvw3qiqvw3q.jpg",/images/case/fleet-logistics-tms-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1280x832,"Night Route (Dark)"
69,"Gemini_Generated_Image_qb7v35qb7v35qb7v.jpg",/images/case/fleet-logistics-tms-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"Night Route (Dark)"
70,"Gemini_Generated_Image_w9gbtdw9gbtdw9gb.jpg",/images/case/fleet-logistics-tms-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Night Route — “before” grade"
71,"Gemini_Generated_Image_qywjndqywjndqywj.jpg",/images/case/fleet-logistics-tms-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Night Route — “before” grade"
72,"Gemini_Generated_Image_8ef0ec8ef0ec8ef0.jpg",/images/case/fleet-logistics-tms-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Night Route — “before” grade"
73,"Gemini_Generated_Image_ipyutyipyutyipyu.jpg",/images/case/warehouse-inventory-wms-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",1376x768,"High Bay (Neutral, in situ)"
74,"Gemini_Generated_Image_obn29vobn29vobn2.jpg",/images/case/warehouse-inventory-wms-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",1376x768,"High Bay (Neutral, in situ)"
75,"Gemini_Generated_Image_djni6xdjni6xdjni.jpg",/images/case/warehouse-inventory-wms-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",1584x672,"High Bay (Neutral, in situ)"
76,"Gemini_Generated_Image_rdlgotrdlgotrdlg.jpg",/images/case/warehouse-inventory-wms-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"High Bay (Neutral, in situ)"
77,"Gemini_Generated_Image_co3231co3231co32.jpg",/images/case/warehouse-inventory-wms-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"High Bay (Neutral, in situ)"
78,"Gemini_Generated_Image_3yfyk43yfyk43yfy.jpg",/images/case/warehouse-inventory-wms-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"High Bay — “before” grade"
79,"Gemini_Generated_Image_pnqy65pnqy65pnqy.jpg",/images/case/warehouse-inventory-wms-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"High Bay — “before” grade"
80,"Gemini_Generated_Image_dm79swdm79swdm79.jpg",/images/case/warehouse-inventory-wms-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"High Bay — “before” grade"
81,"Gemini_Generated_Image_b4tz2kb4tz2kb4tz.jpg",/images/case/lms-training-platform-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",1376x768,"Study Light (Warm light)"
82,"Gemini_Generated_Image_2go7832go7832go7.jpg",/images/case/lms-training-platform-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",1504x704,"Study Light (Warm light)"
83,"Gemini_Generated_Image_7z2ipu7z2ipu7z2i.jpg",/images/case/lms-training-platform-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",1584x672,"Study Light (Warm light)"
84,"Gemini_Generated_Image_dcglhqdcglhqdcgl.jpg",/images/case/lms-training-platform-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1280x832,"Study Light (Warm light)"
85,"Gemini_Generated_Image_up4jqmup4jqmup4j.jpg",/images/case/lms-training-platform-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1376x768,"Study Light (Warm light)"
86,"Gemini_Generated_Image_3shuyj3shuyj3shu.jpg",/images/case/lms-training-platform-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Study Light — “before” grade"
87,"Gemini_Generated_Image_wf7471wf7471wf74.jpg",/images/case/lms-training-platform-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Study Light — “before” grade"
88,"Gemini_Generated_Image_cqpobecqpobecqpo.jpg",/images/case/lms-training-platform-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Study Light — “before” grade"
89,"Gemini_Generated_Image_saiss5saiss5sais.jpg",/images/case/real-estate-portal-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",1376x768,"Travertine (Warm)"
90,"Gemini_Generated_Image_5v4uns5v4uns5v4u.jpg",/images/case/real-estate-portal-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",1376x768,"Travertine (Warm)"
91,"Gemini_Generated_Image_n4adctn4adctn4ad.jpg",/images/case/real-estate-portal-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",1584x672,"Travertine (Warm)"
92,"Gemini_Generated_Image_vytncbvytncbvytn.jpg",/images/case/real-estate-portal-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"Travertine (Warm)"
93,"Gemini_Generated_Image_muy8x8muy8x8muy8.jpg",/images/case/real-estate-portal-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"Travertine (Warm)"
94,"Gemini_Generated_Image_18nwyo18nwyo18nw.jpg",/images/case/real-estate-portal-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Travertine — “before” grade"
95,"Gemini_Generated_Image_mrgpt1mrgpt1mrgp.jpg",/images/case/real-estate-portal-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Travertine — “before” grade"
96,"Gemini_Generated_Image_dezrkxdezrkxdezr.jpg",/images/case/real-estate-portal-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Travertine — “before” grade"
97,"Gemini_Generated_Image_rhw59orhw59orhw5.jpg",/images/case/expense-tracker-app-card.jpg,"Device art","16:9 → trim ~11% off top and bottom",1376x768,"Black Ledger (Dark)"
98,"Gemini_Generated_Image_m0vcdgm0vcdgm0vc.jpg",/images/case/expense-tracker-app-hero.jpg,"Device art · social share image","16:9 → trim ~15% off top and bottom",1408x768,"Black Ledger (Dark)"
99,"Gemini_Generated_Image_r12mwbr12mwbr12m.jpg",/images/case/expense-tracker-app-banner.jpg,"Device art · whole system","21:9 → trim ~12% off top and bottom",1584x672,"Black Ledger (Dark)"
100,"Gemini_Generated_Image_frodg3frodg3frod.jpg",/images/case/expense-tracker-app-solution-1.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"Black Ledger (Dark)"
101,"Gemini_Generated_Image_q53ielq53ielq53i.jpg",/images/case/expense-tracker-app-solution-2.jpg,"Product detail","3:2 → trim ~3% off top and bottom",1264x848,"Black Ledger (Dark)"
102,"Gemini_Generated_Image_i2x3a2i2x3a2i2x3.jpg",/images/case/expense-tracker-app-problem-1.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Black Ledger — “before” grade"
103,"Gemini_Generated_Image_1gl5br1gl5br1gl5.jpg",/images/case/expense-tracker-app-problem-2.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Black Ledger — “before” grade"
104,"Gemini_Generated_Image_tokrzutokrzutokr.jpg",/images/case/expense-tracker-app-problem-3.jpg,"Still-life photograph","1:1 → no trim needed",1024x1024,"Black Ledger — “before” grade"
